,median_house_value
0,452600.0
1,358500.0
2,352100.0
3,341300.0
4,342200.0
5,269700.0
6,299200.0
7,241400.0
8,226700.0
9,261100.0
10,281500.0
11,241800.0
12,213500.0
13,191300.0
14,159200.0
15,140000.0
16,152500.0
17,155500.0
18,158700.0
19,162900.0
20,147500.0
21,159800.0
22,113900.0
23,99700.0
24,132600.0
25,107500.0
26,93800.0
27,105500.0
28,108900.0
29,132000.0
30,122300.0
31,115200.0
32,110400.0
33,104900.0
34,109700.0
35,97200.0
36,104500.0
37,103900.0
38,191400.0
39,176000.0
40,155400.0
41,150000.0
42,118800.0
43,188800.0
44,184400.0
45,182300.0
46,142500.0
47,137500.0
48,187500.0
49,112500.0
50,171900.0
51,93800.0
52,97500.0
53,104200.0
54,87500.0
55,83100.0
56,87500.0
57,85300.0
58,80300.0
59,60000.0
60,75700.0
61,75000.0
62,86100.0
63,76100.0
64,73500.0
65,78400.0
66,84400.0
67,81300.0
68,85000.0
69,129200.0
70,82500.0
71,95200.0
72,75000.0
73,67500.0
74,137500.0
75,177500.0
76,102100.0
77,108300.0
78,112500.0
79,131300.0
80,162500.0
81,112500.0
82,112500.0
83,137500.0
84,118800.0
85,98200.0
86,118800.0
87,162500.0
88,137500.0
89,500001.0
90,162500.0
91,137500.0
92,162500.0
93,187500.0
94,179200.0
95,130000.0
96,183800.0
97,125000.0
98,170000.0
99,193100.0
100,257800.0
101,273400.0
102,237500.0
103,350000.0
104,335700.0
105,313400.0
106,268500.0
107,259400.0
108,275700.0
109,225000.0
110,262500.0
111,218500.0
112,255000.0
113,224100.0
114,243100.0
115,231600.0
116,218500.0
117,234100.0
118,327600.0
119,347600.0
120,366100.0
121,335000.0
122,373600.0
123,389500.0
124,391100.0
125,337300.0
126,295200.0
127,292300.0
128,411500.0
129,311500.0
130,325900.0
131,392600.0
132,319300.0
133,333300.0
134,335200.0
135,351200.0
136,368900.0
137,365900.0
138,366700.0
139,362800.0
140,483300.0
141,331400.0
142,323500.0
143,216700.0
144,233100.0
145,296400.0
146,273700.0
147,227700.0
148,199600.0
149,239800.0
150,270100.0
151,302100.0
152,269500.0
153,314700.0
154,390100.0
155,410300.0
156,352400.0
157,287300.0
158,348700.0
159,243800.0
160,211500.0
161,218400.0
162,269900.0
163,218800.0
164,225000.0
165,250000.0
166,171400.0
167,193800.0
168,125000.0
169,97500.0
170,125000.0
171,138800.0
172,116700.0
173,151800.0
174,127000.0
175,128600.0
176,140600.0
177,182700.0
178,146900.0
179,122800.0
180,169300.0
181,126600.0
182,127900.0
183,123500.0
184,111900.0
185,112800.0
186,107900.0
187,137500.0
188,105500.0
189,95500.0
190,116100.0
191,112200.0
192,75000.0
193,112500.0
194,125000.0
195,115000.0
196,95000.0
197,96400.0
198,72000.0
199,71300.0
200,80800.0
201,128800.0
202,112500.0
203,119400.0
204,118100.0
205,122500.0
206,106300.0
207,132500.0
208,122700.0
209,113300.0
210,109500.0
211,164700.0
212,125000.0
213,124700.0
214,136700.0
215,141700.0
216,150000.0
217,138800.0
218,139200.0
219,143800.0
220,156500.0
221,151000.0
222,273000.0
223,217100.0
224,187100.0
225,239600.0
226,229700.0
227,257300.0
228,246900.0
229,179900.0
230,169600.0
231,203300.0
232,263400.0
233,231800.0
234,140500.0
235,126000.0
236,122000.0
237,134700.0
238,139400.0
239,115400.0
240,137300.0
241,137000.0
242,142600.0
243,137500.0
244,111700.0
245,126800.0
246,111300.0
247,114800.0
248,102300.0
249,131900.0
250,119100.0
251,80600.0
252,80600.0
253,88800.0
254,102400.0
255,98700.0
256,100000.0
257,92300.0
258,94800.0
259,102000.0
260,158400.0
261,121600.0
262,129100.0
263,121400.0
264,102800.0
265,160000.0
266,143900.0
267,151200.0
268,164400.0
269,156500.0
270,225000.0
271,174200.0
272,166900.0
273,163500.0
274,253000.0
275,240700.0
276,208100.0
277,198100.0
278,172800.0
279,336700.0
280,318200.0
281,285800.0
282,293000.0
283,371000.0
284,157300.0
285,135300.0
286,136700.0
287,160700.0
288,140600.0
289,144000.0
290,161900.0
291,156300.0
292,176000.0
293,145800.0
294,141900.0
295,90700.0
296,90600.0
297,107900.0
298,107000.0
299,98200.0
300,89500.0
301,93800.0
302,96700.0
303,97500.0
304,97300.0
305,91200.0
306,91400.0
307,96200.0
308,120100.0
309,100000.0
310,94700.0
311,85700.0
312,89300.0
313,101400.0
314,72500.0
315,74100.0
316,70000.0
317,84600.0
318,81800.0
319,81400.0
320,81800.0
321,85800.0
322,87100.0
323,83500.0
324,79700.0
325,83400.0
326,84700.0
327,80000.0
328,76400.0
329,79700.0
330,82400.0
331,97700.0
332,97200.0
333,101600.0
334,86500.0
335,90500.0
336,107600.0
337,84200.0
338,88900.0
339,80700.0
340,87100.0
341,85100.0
342,82000.0
343,82800.0
344,84600.0
345,82100.0
346,89300.0
347,98300.0
348,92300.0
349,88800.0
350,90000.0
351,95500.0
352,91700.0
353,100400.0
354,94800.0
355,164300.0
356,155500.0
357,196900.0
358,279100.0
359,252800.0
360,275400.0
361,250000.0
362,329800.0
363,195500.0
364,255900.0
365,311100.0
366,330000.0
367,248900.0
368,142900.0
369,126300.0
370,135800.0
371,130600.0
372,107900.0
373,111100.0
374,122000.0
375,118000.0
376,95200.0
377,94300.0
378,92500.0
379,91800.0
380,109400.0
381,129500.0
382,143400.0
383,98200.0
384,103100.0
385,276800.0
386,270900.0
387,246200.0
388,224200.0
389,229100.0
390,211600.0
391,256100.0
392,206300.0
393,221300.0
394,207400.0
395,350000.0
396,218200.0
397,216700.0
398,270600.0
399,261400.0
400,261300.0
401,232200.0
402,375400.0
403,357300.0
404,374400.0
405,358800.0
406,417500.0
407,430500.0
408,362900.0
409,397000.0
410,346800.0
411,327100.0
412,290100.0
413,292000.0
414,270900.0
415,371100.0
416,335600.0
417,371300.0
418,344000.0
419,342200.0
420,370900.0
421,350000.0
422,368600.0
423,391800.0
424,415300.0
425,284900.0
426,287500.0
427,272900.0
428,259600.0
429,254500.0
430,235600.0
431,218400.0
432,229200.0
433,192100.0
434,179300.0
435,187500.0
436,138800.0
437,150000.0
438,140600.0
439,120000.0
440,144800.0
441,144800.0
442,245500.0
443,200000.0
444,173700.0
445,185600.0
446,182600.0
447,227900.0
448,220700.0
449,212000.0
450,271400.0
451,268800.0
452,277800.0
453,332500.0
454,338900.0
455,287500.0
456,384600.0
457,371400.0
458,350000.0
459,500001.0
460,175000.0
461,241700.0
462,216700.0
463,211300.0
464,210200.0
465,196400.0
466,191700.0
467,182300.0
468,175000.0
469,165900.0
470,156900.0
471,164300.0
472,150000.0
473,150500.0
474,169900.0
475,147400.0
476,152700.0
477,182700.0
478,179300.0
479,157700.0
480,153100.0
481,250000.0
482,206300.0
483,218800.0
484,198200.0
485,253600.0
486,257400.0
487,289500.0
488,241700.0
489,489600.0
490,446200.0
491,456300.0
492,336800.0
493,500001.0
494,500001.0
495,376900.0
496,309600.0
497,182300.0
498,172700.0
499,150800.0
500,153600.0
501,106300.0
502,142300.0
503,119400.0
504,147900.0
505,132900.0
506,132500.0
507,126900.0
508,143800.0
509,500001.0
510,500001.0
511,500001.0
512,500001.0
513,466100.0
514,500001.0
515,457800.0
516,471600.0
517,500001.0
518,398600.0
519,340700.0
520,289900.0
521,335300.0
522,333000.0
523,241000.0
524,189600.0
525,206300.0
526,215700.0
527,210200.0
528,208800.0
529,197900.0
530,201300.0
531,190800.0
532,207900.0
533,215300.0
534,212900.0
535,292700.0
536,275000.0
537,200000.0
538,173400.0
539,102200.0
540,220800.0
541,242800.0
542,265400.0
543,219000.0
544,282100.0
545,372000.0
546,225800.0
547,220800.0
548,234500.0
549,254200.0
550,351800.0
551,275000.0
552,405400.0
553,228100.0
554,234000.0
555,162500.0
556,243400.0
557,273800.0
558,248500.0
559,244000.0
560,240900.0
561,306300.0
562,240000.0
563,247100.0
564,286600.0
565,266700.0
566,229800.0
567,229300.0
568,228400.0
569,206200.0
570,350700.0
571,231000.0
572,252900.0
573,353900.0
574,291700.0
575,100000.0
576,341600.0
577,412500.0
578,248600.0
579,254900.0
580,241500.0
581,295200.0
